date,fafh,metro,cpi_all_us,federal_rate,core_state_rate,local_rate_max,multistate_avg_rate,mw_core_local,log_fafh,log_cpi_all_us,log_mw_core_local,log_mw_multistate,dlog_fafh,dlog_cpi_all_us,dlog_mw_core_local,dlog_mw_multistate,lead_dlog_mw_core,lag_dlog_mw_core,treated_core,month,year
2025-08-01,375.632,Los Angeles,323.976,7.25,16.5,15,16.5,16.5,5.9286099407231525,5.780669438974636,2.803360380906535,2.803360380906535,0.0015345925685208428,0.0028685199817317653,0,0,0,0,0,8,2025
2025-09-01,375.356,Los Angeles,324.8,7.25,16.5,15,16.5,16.5,5.927874908971843,5.783209608287523,2.803360380906535,2.803360380906535,-7.350317513097337e-4,0.0025401693128870306,0,0,0,0,0,9,2025
2025-11-01,377.75,Los Angeles,324.122,7.25,16.5,15,16.5,16.5,5.934232601152849,5.781119988127602,2.803360380906535,2.803360380906535,0.006357692181006236,-0.0020896201599205355,0,0,0,0,0,11,2025
2025-12-01,377.649,Los Angeles,324.054,7.25,16.5,15,16.5,16.5,5.933965192801496,5.78091016857165,2.803360380906535,2.803360380906535,-2.674083513527492e-4,-2.098195559518956e-4,0,0,0.023953241022492744,0,0,12,2025
2026-01-01,377.69,Los Angeles,325.252,7.25,16.9,15,16.9,16.9,5.93407375332873,5.7846002664897735,2.8273136219290276,2.8273136219290276,1.0856052723351439e-4,0.0036900979181231364,0.023953241022492744,0.023953241022492744,0,0,1,1,2026
2026-02-01,378.545,Los Angeles,326.785,7.25,16.9,15,16.9,16.9,5.9363349561672765,5.7893024622996245,2.8273136219290276,2.8273136219290276,0.0022612028385466942,0.004702195809850984,0,0,NA,0.023953241022492744,0,2,2026
2009-02-01,233.136,New York,212.193,6.55,7.15,NA,7.15,7.15,5.451621974271498,5.357496237888367,1.9671123567059163,1.9671123567059163,0.0041951851356207825,0.004960608845776093,0,0,0,NA,0,2,2009
2009-03-01,233.199,New York,212.709,6.55,7.15,NA,7.15,7.15,5.4518921663024775,5.359925034428083,1.9671123567059163,1.9671123567059163,2.701920309791106e-4,0.0024287965397160605,0,0,0,0,0,3,2009
2009-04-01,234.007,New York,213.24,6.55,7.15,NA,7.15,7.15,5.455351029440186,5.36241829195456,1.9671123567059163,1.9671123567059163,0.003458863137708157,0.0024932575264768886,0,0,0,0,0,4,2009
2009-05-01,234.244,New York,213.856,6.55,7.15,NA,7.15,7.15,5.456363307129878,5.36530289132866,1.9671123567059163,1.9671123567059163,0.0010122776896919206,0.0028845993740995723,0,0,0,0,0,5,2009
2009-06-01,234.85,New York,215.693,6.55,7.15,NA,7.15,7.15,5.458947012473004,5.373856100388221,1.9671123567059163,1.9671123567059163,0.0025837053431265744,0.008553209059561695,0,0,0,0,0,6,2009
2009-07-01,234.689,New York,215.351,6.55,7.15,NA,7.15,7.15,5.458261233416057,5.372269255092775,1.9671123567059163,1.9671123567059163,-6.857790569467781e-4,-0.001586845295446615,0,0,0.013889112160667016,0,0,7,2009
2009-08-01,235.029,New York,215.834,7.25,7.25,NA,7.25,7.25,5.4597089107858,5.374509593703902,1.9810014688665833,1.9810014688665833,0.001447677369742273,0.0022403386111271573,0.013889112160667016,0.013889112160667016,0,0,1,8,2009
2009-09-01,234.967,New York,215.969,7.25,7.25,NA,7.25,7.25,5.459445078751656,5.375134878865879,1.9810014688665833,1.9810014688665833,-2.6383203414326317e-4,6.252851619770183e-4,0,0,0,0.013889112160667016,0,9,2009
2009-10-01,235.475,New York,216.177,7.25,7.25,NA,7.25,7.25,5.461604750708881,5.376097516567314,1.9810014688665833,1.9810014688665833,0.0021596719572247736,9.626377014351206e-4,0,0,0,0,0,10,2009
2009-11-01,235.786,New York,216.33,7.25,7.25,NA,7.25,7.25,5.462924613991214,5.376805019596778,1.9810014688665833,1.9810014688665833,0.0013198632823332446,7.07503029463652e-4,0,0,0,0,0,11,2009
2009-12-01,235.787,New York,215.949,7.25,7.25,NA,7.25,7.25,5.462928855116131,5.375042268694437,1.9810014688665833,1.9810014688665833,4.2411249161489195e-6,-0.0017627509023405707,0,0,0,0,0,12,2009
2010-01-01,235.985,New York,216.687,7.25,7.25,NA,7.25,7.25,5.463768243683597,5.378453915972145,1.9810014688665833,1.9810014688665833,8.393885674662371e-4,0.003411647277707708,0,0,0,0,0,1,2010
2010-02-01,235.622,New York,216.741,7.25,7.25,NA,7.25,7.25,5.462228826025731,5.378703092307219,1.9810014688665833,1.9810014688665833,-0.0015394176578658048,2.491763350747078e-4,0,0,0,0,0,2,2010
2010-03-01,235.836,New York,217.631,7.25,7.25,NA,7.25,7.25,5.463136648205849,5.382800968070159,1.9810014688665833,1.9810014688665833,9.078221801184228e-4,0.004097875762939296,0,0,0,0,0,3,2010
2010-04-01,235.728,New York,218.009,7.25,7.25,NA,7.25,7.25,5.462678597964999,5.384536346340581,1.9810014688665833,1.9810014688665833,-4.5805024085066037e-4,0.0017353782704221388,0,0,0,0,0,4,2010
2010-05-01,235.834,New York,218.178,7.25,7.25,NA,7.25,7.25,5.463128167700411,5.38531124338454,1.9810014688665833,1.9810014688665833,4.4956973541232514e-4,7.748970439589442e-4,0,0,0,0,0,5,2010
2010-06-01,236.572,New York,217.965,7.25,7.25,NA,7.25,7.25,5.466252601345912,5.384334499440769,1.9810014688665833,1.9810014688665833,0.003124433645500524,-9.76743943771119e-4,0,0,0,0,0,6,2010
2010-07-01,236.842,New York,218.011,7.25,7.25,NA,7.25,7.25,5.467393252147428,5.384545520231687,1.9810014688665833,1.9810014688665833,0.001140650801516152,2.1102079091850356e-4,0,0,0,0,0,7,2010
2010-08-01,237.2,New York,218.312,7.25,7.25,NA,7.25,7.25,5.468903667123571,5.385925232269552,1.9810014688665833,1.9810014688665833,0.0015104149761429042,0.0013797120378651329,0,0,0,0,0,8,2010
2010-09-01,237.943,New York,218.439,7.25,7.25,NA,7.25,7.25,5.472031149189457,5.386506799357342,1.9810014688665833,1.9810014688665833,0.003127482065885978,5.815670877895585e-4,0,0,0,0,0,9,2010
2010-10-01,238.071,New York,218.711,7.25,7.25,NA,7.25,7.25,5.472568948510843,5.387751223628651,1.9810014688665833,1.9810014688665833,5.37799321386423e-4,0.0012444242713094411,0,0,0,0,0,10,2010
2010-11-01,237.507,New York,218.803,7.25,7.25,NA,7.25,7.25,5.470197096724566,5.388171781605566,1.9810014688665833,1.9810014688665833,-0.0023718517862771904,4.2055797691453733e-4,0,0,0,0,0,11,2010
2010-12-01,238.159,New York,219.179,7.25,7.25,NA,7.25,7.25,5.472938517840795,5.389888747564759,1.9810014688665833,1.9810014688665833,0.0027414211162293256,0.0017169659591935726,0,0,0,0,0,12,2010
2011-01-01,238.689,New York,220.223,7.25,7.25,NA,7.25,7.25,5.475161449333624,5.394640669333552,1.9810014688665833,1.9810014688665833,0.0022229314928283728,0.0047519217687925774,0,0,0,0,0,1,2011
2011-02-01,239.503,New York,221.309,7.25,7.25,NA,7.25,7.25,5.478565942868553,5.39955991500547,1.9810014688665833,1.9810014688665833,0.0034044935349291094,0.004919245671917594,0,0,0,0,0,2,2011
2011-03-01,239.802,New York,223.467,7.25,7.25,NA,7.25,7.25,5.479813582842204,5.409263752145429,1.9810014688665833,1.9810014688665833,0.0012476399736511823,0.009703837139959148,0,0,0,0,0,3,2011
2011-04-01,241.003,New York,224.906,7.25,7.25,NA,7.25,7.25,5.484809381545958,5.4156825371331925,1.9810014688665833,1.9810014688665833,0.004995798703753884,0.006418784987763715,0,0,0,0,0,4,2011
